PLC3_InputRegisters_IW0,PLC3_MemoryRegisters_MW1,PLC3_Coils_QX00,PLC1_InputRegisters_IW0,PLC1_InputRegisters_IW1,PLC1_MemoryRegisters_MW0,PLC1_MemoryRegisters_MW1,PLC1_MemoryRegisters_MW2,PLC1_MemoryRegisters_MW3,PLC1_Coils_QX00,PLC1_Coils_QX01,PLC1_Coils_QX02,PLC1_Coils_QX03,PLC1_Coils_QX04,PLC2_InputRegisters_IW0,PLC2_MemoryRegisters_MW0,PLC2_MemoryRegisters_MW1,PLC2_Coils_QX00,prev_PLC3_InputRegisters_IW0,prev_PLC3_Coils_QX00,prev_PLC1_InputRegisters_IW0,prev_PLC1_InputRegisters_IW1,prev_PLC1_Coils_QX00,prev_PLC1_Coils_QX01,prev_PLC1_Coils_QX02,prev_PLC1_Coils_QX03,prev_PLC1_Coils_QX04,prev_PLC2_InputRegisters_IW0,prev_PLC2_Coils_QX00
1,10,0,69,26,40,80,5,35,0,1,1,1,0,14,10,20,1,1,0,70,26,0,1,1,1,0,14,1
1,10,0,69,26,40,80,5,35,0,1,1,1,0,15,10,20,1,1,0,69,26,0,1,1,1,0,14,1
1,10,0,69,26,40,80,5,35,0,1,1,1,0,15,10,20,1,1,0,69,26,0,1,1,1,0,15,1
1,10,0,68,26,40,80,5,35,0,1,1,1,0,15,10,20,1,1,0,69,26,0,1,1,1,0,15,1
1,10,0,68,26,40,80,5,35,0,1,1,1,0,15,10,20,1,1,0,68,26,0,1,1,1,0,15,1
1,10,0,68,26,40,80,5,35,0,1,1,1,0,15,10,20,1,1,0,68,26,0,1,1,1,0,15,1
1,10,0,68,26,40,80,5,35,0,1,1,1,0,15,10,20,1,1,0,68,26,0,1,1,1,0,15,1
1,10,0,67,26,40,80,5,35,0,1,1,1,0,15,10,20,1,1,0,68,26,0,1,1,1,0,15,1
1,10,0,67,26,40,80,5,35,0,1,1,1,0,15,10,20,1,1,0,67,26,0,1,1,1,0,15,1
1,10,0,67,26,40,80,5,35,0,1,1,1,0,15,10,20,1,1,0,67,26,0,1,1,1,0,15,1
1,10,0,67,26,40,80,5,35,0,1,1,1,0,16,10,20,1,1,0,67,26,0,1,1,1,0,15,1
1,10,0,66,26,40,80,5,35,0,1,1,1,0,16,10,20,1,1,0,67,26,0,1,1,1,0,16,1
1,10,0,66,26,40,80,5,35,0,1,1,1,0,16,10,20,1,1,0,66,26,0,1,1,1,0,16,1
1,10,0,66,26,40,80,5,35,0,1,1,1,0,16,10,20,1,1,0,66,26,0,1,1,1,0,16,1
1,10,0,66,26,40,80,5,35,0,1,1,1,0,16,10,20,1,1,0,66,26,0,1,1,1,0,16,1
1,10,0,65,26,40,80,5,35,0,1,1,1,0,16,10,20,1,1,0,66,26,0,1,1,1,0,16,1
1,10,0,65,26,40,80,5,35,0,1,1,1,0,16,10,20,1,1,0,65,26,0,1,1,1,0,16,1
1,10,0,65,26,40,80,5,35,0,1,1,1,0,16,10,20,1,1,0,65,26,0,1,1,1,0,16,1
1,10,0,64,26,40,80,5,35,0,1,1,1,0,16,10,20,1,1,0,65,26,0,1,1,1,0,16,1
1,10,0,64,26,40,80,5,35,0,1,1,1,0,16,10,20,1,1,0,64,26,0,1,1,1,0,16,1
1,10,0,64,26,40,80,5,35,0,1,1,1,0,16,10,20,1,1,0,64,26,0,1,1,1,0,16,1
1,10,0,64,26,40,80,5,35,0,1,1,1,0,17,10,20,1,1,0,64,26,0,1,1,1,0,16,1
1,10,0,63,26,40,80,5,35,0,1,1,1,0,17,10,20,1,1,0,64,26,0,1,1,1,0,17,1
1,10,0,63,26,40,80,5,35,0,1,1,1,0,17,10,20,1,1,0,63,26,0,1,1,1,0,17,1
1,10,0,63,27,40,80,5,35,0,1,1,1,0,17,10,20,1,1,0,63,26,0,1,1,1,0,17,1
1,10,0,62,27,40,80,5,35,0,1,1,1,0,17,10,20,1,1,0,63,27,0,1,1,1,0,17,1
1,10,0,62,27,40,80,5,35,0,1,1,1,0,17,10,20,1,1,0,62,27,0,1,1,1,0,17,1
1,10,0,62,27,40,80,5,35,0,1,1,1,0,17,10,20,1,1,0,62,27,0,1,1,1,0,17,1
1,10,0,62,27,40,80,5,35,0,1,1,1,0,17,10,20,1,1,0,62,27,0,1,1,1,0,17,1
1,10,0,61,27,40,80,5,35,0,1,1,1,0,17,10,20,1,1,0,62,27,0,1,1,1,0,17,1
1,10,0,61,27,40,80,5,35,0,1,1,1,0,17,10,20,1,1,0,61,27,0,1,1,1,0,17,1
1,10,0,61,27,40,80,5,35,0,1,1,1,0,18,10,20,1,1,0,61,27,0,1,1,1,0,17,1
1,10,0,61,27,40,80,5,35,0,1,1,1,0,18,10,20,1,1,0,61,27,0,1,1,1,0,18,1
1,10,0,60,27,40,80,5,35,0,1,1,1,0,18,10,20,1,1,0,61,27,0,1,1,1,0,18,1
1,10,0,60,27,40,80,5,35,0,1,1,1,0,18,10,20,1,1,0,60,27,0,1,1,1,0,18,1
1,10,0,60,27,40,80,5,35,0,1,1,1,0,18,10,20,1,1,0,60,27,0,1,1,1,0,18,1
1,10,0,60,27,40,80,5,35,0,1,1,1,0,18,10,20,1,1,0,60,27,0,1,1,1,0,18,1
1,10,0,59,27,40,80,5,35,0,1,1,1,0,18,10,20,1,1,0,60,27,0,1,1,1,0,18,1
1,10,0,59,27,40,80,5,35,0,1,1,1,0,18,10,20,1,1,0,59,27,0,1,1,1,0,18,1
1,10,0,59,27,40,80,5,35,0,1,1,1,0,18,10,20,1,1,0,59,27,0,1,1,1,0,18,1
1,10,0,58,27,40,80,5,35,0,1,1,1,0,18,10,20,1,1,0,59,27,0,1,1,1,0,18,1
1,10,0,58,27,40,80,5,35,0,1,1,1,0,19,10,20,1,1,0,58,27,0,1,1,1,0,18,1
1,10,0,58,27,40,80,5,35,0,1,1,1,0,19,10,20,1,1,0,58,27,0,1,1,1,0,19,1
1,10,0,57,27,40,80,5,35,0,1,1,1,0,19,10,20,1,1,0,58,27,0,1,1,1,0,19,1
1,10,0,57,27,40,80,5,35,0,1,1,1,0,19,10,20,1,1,0,57,27,0,1,1,1,0,19,1
1,10,0,57,27,40,80,5,35,0,1,1,1,0,19,10,20,1,1,0,57,27,0,1,1,1,0,19,1
1,10,0,57,27,40,80,5,35,0,1,1,1,0,19,10,20,1,1,0,57,27,0,1,1,1,0,19,1
1,10,0,57,27,40,80,5,35,0,1,1,1,0,19,10,20,1,1,0,57,27,0,1,1,1,0,19,1
1,10,0,56,27,40,80,5,35,0,1,1,1,0,19,10,20,1,1,0,57,27,0,1,1,1,0,19,1
1,10,0,56,27,40,80,5,35,0,1,1,1,0,19,10,20,1,1,0,56,27,0,1,1,1,0,19,1
1,10,0,56,27,40,80,5,35,0,1,1,1,0,19,10,20,1,1,0,56,27,0,1,1,1,0,19,1
1,10,0,56,27,40,80,5,35,0,1,1,1,0,19,10,20,1,1,0,56,27,0,1,1,1,0,19,1
1,10,0,55,27,40,80,5,35,0,1,1,1,0,19,10,20,1,1,0,56,27,0,1,1,1,0,19,1
1,10,0,55,27,40,80,5,35,0,1,1,1,0,19,10,20,1,1,0,55,27,0,1,1,1,0,19,1
1,10,0,55,27,40,80,5,35,0,1,1,1,0,20,10,20,0,1,0,55,27,0,1,1,1,0,19,1
1,10,0,55,27,40,80,5,35,0,1,1,1,0,20,10,20,0,1,0,55,27,0,1,1,1,0,20,0
1,10,0,55,27,40,80,5,35,0,1,1,1,0,20,10,20,0,1,0,55,27,0,1,1,1,0,20,0
1,10,0,54,27,40,80,5,35,0,1,1,1,0,20,10,20,0,1,0,55,27,0,1,1,1,0,20,0
1,10,0,54,27,40,80,5,35,0,1,1,1,0,20,10,20,0,1,0,54,27,0,1,1,1,0,20,0
1,10,0,54,27,40,80,5,35,0,1,1,1,0,20,10,20,0,1,0,54,27,0,1,1,1,0,20,0
1,10,0,54,27,40,80,5,35,0,0,0,1,0,20,10,20,0,1,0,54,27,0,1,1,1,0,20,0
1,10,0,53,27,40,80,5,35,0,0,0,1,0,20,10,20,0,1,0,54,27,0,0,0,1,0,20,0
