timestamp,PLC1_IR0,PLC1_C0,PLC1_C1,PLC1_C2,PLC2_IR0,PLC2_C0,PLC3_IR0,PLC3_C0,PLC3_C1
1764361397.0596511,66,False,True,True,20,False,1,False,False
1764361397.8426304,66,False,False,False,20,False,1,False,False
1764361398.3556387,66,False,False,False,20,False,1,False,False
1764361399.2393382,66,False,False,False,20,False,1,False,False
1764361400.349336,66,False,False,False,20,False,1,False,False
1764361401.1511016,66,False,False,False,20,False,1,False,False
1764361401.7100973,66,False,False,False,20,False,1,False,False
1764361402.391029,66,False,False,False,19,False,1,False,False
1764361403.248668,66,False,False,False,19,False,1,False,False
1764361403.9971945,66,False,False,False,19,False,1,False,False
1764361404.733416,66,False,False,False,19,False,1,False,False
1764361405.3127484,66,False,False,False,19,False,1,False,False
1764361406.067042,66,False,False,False,19,False,1,False,False
1764361406.95273,66,False,False,False,19,False,1,False,False
1764361407.639228,66,False,False,False,19,False,1,False,False
1764361408.294725,66,False,False,False,19,False,1,False,False
1764361408.8293905,66,False,False,False,19,False,1,False,False
1764361409.8994606,66,False,False,False,18,False,1,False,False
1764361410.6383727,66,False,False,False,18,False,1,False,False
1764361411.443529,66,False,False,False,18,False,1,False,False
1764361412.2238388,66,False,False,False,18,False,1,False,False
1764361412.8843715,66,False,False,False,18,False,1,False,False
1764361413.451054,66,False,False,False,18,False,1,False,False
1764361414.0759494,66,False,False,False,18,False,1,False,False
1764361414.7867134,66,False,False,False,18,False,1,False,False
1764361415.6143095,66,False,False,False,17,False,1,False,False
1764361416.7317185,66,False,False,False,17,False,1,False,False
1764361417.7644677,66,False,False,False,17,False,1,False,False
1764361418.5628273,66,False,False,False,17,False,1,False,False
1764361419.326771,66,False,False,False,17,False,1,False,False
1764361420.0851376,66,False,False,False,17,False,1,False,False
1764361420.6856763,66,False,False,False,17,False,1,False,False
1764361421.5964398,66,False,False,False,17,False,1,False,False
1764361422.2198012,66,False,False,False,16,False,1,False,False
1764361422.9738233,66,False,False,False,16,False,1,False,False
1764361423.9118671,66,False,False,False,16,False,1,False,False
1764361424.600199,66,False,False,False,16,False,1,False,False
1764361425.4712112,66,False,False,False,16,False,1,False,False
1764361426.6136813,66,False,False,False,16,False,1,False,False
1764361428.0011137,66,False,False,False,16,False,1,False,False
1764361428.4204557,66,False,False,False,16,False,1,False,False
1764361429.5194092,66,False,False,False,15,False,1,False,False
1764361430.364399,66,False,False,False,15,False,1,False,False
1764361431.2646818,66,False,False,False,15,False,1,False,False
1764361432.1744883,66,False,False,False,15,False,1,False,False
1764361432.9355993,66,False,False,False,15,False,1,False,False
1764361433.863188,66,False,False,False,15,False,1,False,False
1764361434.5779068,66,False,False,False,15,False,1,False,False
1764361434.9271657,66,False,False,False,15,False,1,False,False
1764361435.7285244,66,False,False,False,15,False,1,False,False
1764361436.851986,66,False,False,False,14,False,1,False,False
1764361437.9447393,66,False,False,False,14,False,1,False,False
1764361438.9858873,66,False,False,False,14,False,1,False,False
1764361440.0984976,66,False,False,False,14,False,1,False,False
1764361440.8383605,66,False,False,False,14,False,1,False,False
1764361441.8323576,66,False,False,False,14,False,1,False,False
1764361442.9261894,66,False,False,False,14,False,1,False,False
1764361443.7849877,66,False,False,False,13,False,1,False,False
1764361444.8240936,66,False,False,False,13,False,1,False,False
1764361445.4934282,66,False,False,False,13,False,1,False,False
1764361446.2329624,66,False,False,False,13,False,1,False,False
1764361446.9933846,66,False,False,False,13,False,1,False,False
1764361447.6882832,66,False,False,False,13,False,1,False,False
1764361448.6063786,66,False,False,False,13,False,1,False,False
1764361449.244833,66,False,False,False,13,False,1,False,False
1764361450.124158,66,False,False,False,13,False,1,False,False
1764361450.789495,66,False,False,False,13,False,1,False,False
1764361451.5335932,66,False,False,False,12,False,1,False,False
1764361452.2679849,66,False,False,False,12,False,1,False,False
1764361452.9797976,66,False,False,False,12,False,1,False,False
1764361453.5691018,66,False,False,False,12,False,1,False,False
1764361454.425132,66,False,False,False,12,False,1,False,False
1764361455.140267,66,False,False,False,12,False,1,False,False
1764361455.9643548,66,False,False,False,12,False,1,False,False
1764361456.4765809,66,False,False,False,12,False,1,False,False
1764361456.8515115,66,False,False,False,12,False,1,False,False
1764361457.5698328,66,False,False,False,12,False,2,False,False
1764361458.5715275,66,False,False,False,11,False,2,False,False
1764361459.857987,66,False,False,False,11,False,2,False,False
1764361460.8146415,66,False,False,False,11,False,2,False,False
1764361461.3384447,66,False,False,False,11,False,2,False,False
1764361462.4464505,66,False,False,False,11,False,2,False,False
1764361463.3791456,66,False,False,False,11,False,2,False,False
1764361463.9432256,66,False,False,False,11,False,2,False,False
1764361465.1242766,66,False,False,False,11,False,2,False,False
1764361465.784044,66,False,False,False,11,False,2,False,False
1764361466.3742547,66,False,False,False,11,False,2,False,False
