PLC3_InputRegisters_IW0,PLC3_MemoryRegisters_MW1,PLC3_Coils_QX00,PLC1_InputRegisters_IW0,PLC1_MemoryRegisters_MW0,PLC1_MemoryRegisters_MW1,PLC1_Coils_QX00,PLC1_Coils_QX01,PLC1_Coils_QX02,PLC2_InputRegisters_IW0,PLC2_MemoryRegisters_MW0,PLC2_MemoryRegisters_MW1,PLC2_Coils_QX00,prev_PLC3_InputRegisters_IW0,prev_PLC3_Coils_QX00,prev_PLC1_InputRegisters_IW0,prev_PLC1_Coils_QX00,prev_PLC1_Coils_QX01,prev_PLC1_Coils_QX02,prev_PLC2_InputRegisters_IW0,prev_PLC2_Coils_QX00,tmp
1,10,0,75,40,80,0,1,1,12,10,20,1,1,0,75,0,1,1,12,1,27
1,10,0,75,40,80,0,1,1,13,10,20,1,1,0,75,0,1,1,12,1,28
1,10,0,74,40,80,0,1,1,13,10,20,1,1,0,75,0,1,1,13,1,29
1,10,0,74,40,80,0,1,1,13,10,20,1,1,0,74,0,1,1,13,1,30
1,10,0,74,40,80,0,1,1,13,10,20,1,1,0,74,0,1,1,13,1,31
1,10,0,73,40,80,0,1,1,13,10,20,1,1,0,74,0,1,1,13,1,32
1,10,0,73,40,80,0,1,1,13,10,20,1,1,0,73,0,1,1,13,1,33
1,10,0,73,40,80,0,1,1,13,10,20,1,1,0,73,0,1,1,13,1,34
1,10,0,73,40,80,0,1,1,13,10,20,1,1,0,73,0,1,1,13,1,35
1,10,0,72,40,80,0,1,1,13,10,20,1,1,0,73,0,1,1,13,1,36
1,10,0,72,40,80,0,1,1,13,10,20,1,1,0,72,0,1,1,13,1,37
1,10,0,72,40,80,0,1,1,14,10,20,1,1,0,72,0,1,1,13,1,38
1,10,0,71,40,80,0,1,1,14,10,20,1,1,0,72,0,1,1,14,1,39
1,10,0,71,40,80,0,1,1,14,10,20,1,1,0,71,0,1,1,14,1,40
1,10,0,71,40,80,0,1,1,14,10,20,1,1,0,71,0,1,1,14,1,41
1,10,0,71,40,80,0,1,1,14,10,20,1,1,0,71,0,1,1,14,1,42
1,10,0,71,40,80,0,1,1,14,10,20,1,1,0,71,0,1,1,14,1,43
1,10,0,70,40,80,0,1,1,14,10,20,1,1,0,71,0,1,1,14,1,44
1,10,0,70,40,80,0,1,1,14,10,20,1,1,0,70,0,1,1,14,1,45
1,10,0,70,40,80,0,1,1,14,10,20,1,1,0,70,0,1,1,14,1,46
1,10,0,70,40,80,0,1,1,14,10,20,1,1,0,70,0,1,1,14,1,47
1,10,0,69,40,80,0,1,1,14,10,20,1,1,0,70,0,1,1,14,1,48
1,10,0,69,40,80,0,1,1,15,10,20,1,1,0,69,0,1,1,14,1,49
1,10,0,69,40,80,0,1,1,15,10,20,1,1,0,69,0,1,1,15,1,50
1,10,0,68,40,80,0,1,1,15,10,20,1,1,0,69,0,1,1,15,1,51
1,10,0,68,40,80,0,1,1,15,10,20,1,1,0,68,0,1,1,15,1,52
1,10,0,68,40,80,0,1,1,15,10,20,1,1,0,68,0,1,1,15,1,53
1,10,0,68,40,80,0,1,1,15,10,20,1,1,0,68,0,1,1,15,1,54
1,10,0,67,40,80,0,1,1,15,10,20,1,1,0,68,0,1,1,15,1,55
1,10,0,67,40,80,0,1,1,15,10,20,1,1,0,67,0,1,1,15,1,56
1,10,0,67,40,80,0,1,1,15,10,20,1,1,0,67,0,1,1,15,1,57
1,10,0,67,40,80,0,1,1,16,10,20,1,1,0,67,0,1,1,15,1,58
1,10,0,66,40,80,0,1,1,16,10,20,1,1,0,67,0,1,1,16,1,59
1,10,0,66,40,80,0,1,1,16,10,20,1,1,0,66,0,1,1,16,1,60
1,10,0,66,40,80,0,1,1,16,10,20,1,1,0,66,0,1,1,16,1,61
1,10,0,66,40,80,0,1,1,16,10,20,1,1,0,66,0,1,1,16,1,62
1,10,0,65,40,80,0,1,1,16,10,20,1,1,0,66,0,1,1,16,1,63
1,10,0,65,40,80,0,1,1,16,10,20,1,1,0,65,0,1,1,16,1,64
1,10,0,65,40,80,0,1,1,16,10,20,1,1,0,65,0,1,1,16,1,65
1,10,0,64,40,80,0,1,1,16,10,20,1,1,0,65,0,1,1,16,1,66
1,10,0,64,40,80,0,1,1,16,10,20,1,1,0,64,0,1,1,16,1,67
1,10,0,64,40,80,0,1,1,16,10,20,1,1,0,64,0,1,1,16,1,68
1,10,0,64,40,80,0,1,1,17,10,20,1,1,0,64,0,1,1,16,1,69
1,10,0,63,40,80,0,1,1,17,10,20,1,1,0,64,0,1,1,17,1,70
1,10,0,63,40,80,0,1,1,17,10,20,1,1,0,63,0,1,1,17,1,71
1,10,0,63,40,80,0,1,1,17,10,20,1,1,0,63,0,1,1,17,1,72
1,10,0,62,40,80,0,1,1,17,10,20,1,1,0,63,0,1,1,17,1,73
1,10,0,62,40,80,0,1,1,17,10,20,1,1,0,62,0,1,1,17,1,74
1,10,0,62,40,80,0,1,1,17,10,20,1,1,0,62,0,1,1,17,1,75
1,10,0,62,40,80,0,1,1,17,10,20,1,1,0,62,0,1,1,17,1,76
1,10,0,61,40,80,0,1,1,17,10,20,1,1,0,62,0,1,1,17,1,77
1,10,0,61,40,80,0,1,1,17,10,20,1,1,0,61,0,1,1,17,1,78
1,10,0,61,40,80,0,1,1,18,10,20,1,1,0,61,0,1,1,17,1,79
1,10,0,61,40,80,0,1,1,18,10,20,1,1,0,61,0,1,1,18,1,80
1,10,0,60,40,80,0,1,1,18,10,20,1,1,0,61,0,1,1,18,1,81
1,10,0,60,40,80,0,1,1,18,10,20,1,1,0,60,0,1,1,18,1,82
1,10,0,60,40,80,0,1,1,18,10,20,1,1,0,60,0,1,1,18,1,83
1,10,0,60,40,80,0,1,1,18,10,20,1,1,0,60,0,1,1,18,1,84
1,10,0,59,40,80,0,1,1,18,10,20,1,1,0,60,0,1,1,18,1,85
1,10,0,59,40,80,0,1,1,18,10,20,1,1,0,59,0,1,1,18,1,86
1,10,0,59,40,80,0,1,1,18,10,20,1,1,0,59,0,1,1,18,1,87
1,10,0,58,40,80,0,1,1,18,10,20,1,1,0,59,0,1,1,18,1,88
1,10,0,58,40,80,0,1,1,19,10,20,1,1,0,58,0,1,1,18,1,89
1,10,0,58,40,80,0,1,1,19,10,20,1,1,0,58,0,1,1,19,1,90
1,10,0,57,40,80,0,1,1,19,10,20,1,1,0,58,0,1,1,19,1,91
1,10,0,57,40,80,0,1,1,19,10,20,1,1,0,57,0,1,1,19,1,92
1,10,0,57,40,80,0,1,1,19,10,20,1,1,0,57,0,1,1,19,1,93
1,10,0,57,40,80,0,1,1,19,10,20,1,1,0,57,0,1,1,19,1,94
1,10,0,57,40,80,0,1,1,19,10,20,1,1,0,57,0,1,1,19,1,95
1,10,0,56,40,80,0,1,1,19,10,20,1,1,0,57,0,1,1,19,1,96
1,10,0,56,40,80,0,1,1,19,10,20,1,1,0,56,0,1,1,19,1,97
1,10,0,56,40,80,0,1,1,19,10,20,1,1,0,56,0,1,1,19,1,98
1,10,0,56,40,80,0,1,1,19,10,20,1,1,0,56,0,1,1,19,1,99
1,10,0,55,40,80,0,1,1,19,10,20,1,1,0,56,0,1,1,19,1,100
1,10,0,55,40,80,0,1,1,19,10,20,1,1,0,55,0,1,1,19,1,101
1,10,0,55,40,80,0,1,1,20,10,20,0,1,0,55,0,1,1,19,1,102
1,10,0,55,40,80,0,1,1,20,10,20,0,1,0,55,0,1,1,20,0,103
1,10,0,55,40,80,0,1,1,20,10,20,0,1,0,55,0,1,1,20,0,104
1,10,0,54,40,80,0,1,1,20,10,20,0,1,0,55,0,1,1,20,0,105
1,10,0,54,40,80,0,1,1,20,10,20,0,1,0,54,0,1,1,20,0,106
1,10,0,54,40,80,0,1,1,20,10,20,0,1,0,54,0,1,1,20,0,107
1,10,0,54,40,80,0,0,0,20,10,20,0,1,0,54,0,1,1,20,0,108
1,10,0,53,40,80,0,0,0,20,10,20,0,1,0,54,0,0,0,20,0,109
1,10,0,53,40,80,0,0,0,20,10,20,0,1,0,53,0,0,0,20,0,110
1,10,0,53,40,80,0,0,0,20,10,20,0,1,0,53,0,0,0,20,0,111
1,10,0,53,40,80,0,0,0,20,10,20,0,1,0,53,0,0,0,20,0,112
1,10,0,53,40,80,0,0,0,20,10,20,0,1,0,53,0,0,0,20,0,113
1,10,0,53,40,80,0,0,0,20,10,20,0,1,0,53,0,0,0,20,0,114
1,10,0,53,40,80,0,0,0,20,10,20,0,1,0,53,0,0,0,20,0,115
1,10,0,53,40,80,0,0,0,20,10,20,0,1,0,53,0,0,0,20,0,116
