A,B,C,D,E,F,G,H,I,J
1764361677.668099,74,True,False,False,13,False,2,False,False
1764361680.2696884,76,True,False,False,13,False,2,False,False
1764361683.6432002,79,True,False,False,12,False,2,False,False
1764361687.2446733,80,False,False,False,12,False,2,False,False
1764361691.0558476,80,False,False,False,11,False,2,False,False
1764361694.4672022,80,False,False,False,11,False,2,False,False
1764361698.1380203,80,False,False,False,10,True,2,False,False
1764361700.9358435,80,False,False,False,10,True,2,False,False
1764361704.9553432,79,False,True,True,11,True,2,False,False
1764361707.8127177,77,False,True,True,12,True,2,False,False
1764361710.7956426,76,False,True,True,13,True,2,False,False
1764361713.5963986,74,False,True,True,15,True,2,False,False
1764361716.2094398,73,False,True,True,17,True,1,True,False
1764361718.5580564,72,False,True,True,19,True,0,False,False
1764361722.230481,69,False,True,True,20,False,0,False,False
1764361726.0163198,69,False,False,False,20,False,0,False,False
1764361729.796451,69,False,False,False,20,False,0,False,False
1764361732.443004,69,False,False,False,19,False,0,False,False
1764361736.7182097,69,False,False,False,19,False,0,False,False
1764361739.9990551,69,False,False,False,18,False,0,False,False
1764361744.4324672,69,False,False,False,17,False,0,False,False
1764361746.8650737,69,False,False,False,17,False,0,False,False
1764361750.1169164,69,False,False,False,17,False,0,False,False
1764361753.5493631,69,False,False,False,16,False,1,False,False
1764361756.99265,69,False,False,False,16,False,1,False,False
1764361760.3149238,69,False,False,False,15,False,1,False,False
1764361764.032887,69,False,False,False,15,False,1,False,False
1764361767.0020046,69,False,False,False,14,False,1,False,False
1764361770.2046485,69,False,False,False,14,False,1,False,False
1764361773.6989582,69,False,False,False,13,False,1,False,False
1764361777.0061169,69,False,False,False,13,False,1,False,False
1764361780.450727,69,False,False,False,12,False,1,False,False
1764361783.8946023,69,False,False,False,12,False,1,False,False
1764361786.852999,69,False,False,False,11,False,1,False,False
1764361789.3437757,69,False,False,False,11,False,1,False,False
1764361792.2003329,69,False,False,False,11,False,1,False,False
1764361795.5307395,69,False,False,False,11,False,1,False,False
