timestamp,PLC1_IR0,PLC1_C0,PLC1_C1,PLC1_C2,PLC2_IR0,PLC2_C0,PLC3_IR0,PLC3_C0,PLC3_C1
1,56,True,False,False,17,False,2,False,False
9,61,True,False,False,16,False,2,False,False
17,65,True,False,False,15,False,2,False,False
25,69,True,False,False,14,False,2,False,False
33,73,True,False,False,13,False,2,False,False
41,77,True,False,False,12,False,2,False,False
49,80,False,False,False,11,False,2,False,False
57,80,False,False,False,13,False,0,False,False
65,80,False,False,False,12,False,0,False,False
73,80,False,False,False,12,False,0,False,False
81,80,False,False,False,11,False,0,False,False
89,79,False,True,True,10,True,0,False,False
97,75,False,True,True,14,True,0,False,False
105,71,False,True,True,16,True,0,False,False
113,68,False,True,True,19,True,1,False,False
121,66,False,False,False,20,False,1,False,False
129,66,False,False,False,19,False,1,False,False
137,66,False,False,False,18,False,1,False,False
145,66,False,False,False,17,False,1,False,False
153,66,False,False,False,16,False,1,False,False
161,66,False,False,False,15,False,1,False,False
169,66,False,False,False,14,False,1,False,False
177,66,False,False,False,13,False,1,False,False
185,66,False,False,False,12,False,1,False,False
193,66,False,False,False,12,False,2,False,False
201,66,False,False,False,11,False,2,False,False
209,66,False,True,True,10,True,2,False,False
217,63,False,True,True,12,True,2,False,False
225,60,False,True,True,14,True,2,False,False
233,57,False,True,True,17,True,2,False,False
241,54,False,True,True,18,True,2,False,False
249,52,False,True,True,20,False,2,False,False
257,51,False,False,False,19,False,2,False,False
265,51,False,False,False,18,False,2,False,False
273,51,False,False,False,17,False,2,False,False
281,51,False,False,False,19,False,0,False,False
289,51,False,False,False,18,False,0,False,False
297,51,False,False,False,17,False,0,False,False
305,51,False,False,False,16,False,0,False,False
313,51,False,False,False,15,False,0,False,False
321,51,False,False,False,14,False,0,False,False
329,51,False,False,False,13,False,0,False,False
337,51,False,False,False,12,False,1,False,False
345,51,False,False,False,12,False,1,False,False
353,51,False,False,False,11,False,1,False,False
361,51,False,True,True,10,True,1,False,False
369,48,False,True,True,12,True,1,False,False
377,45,False,True,True,14,True,1,False,False
385,42,False,True,True,16,True,1,False,False
393,40,True,True,True,18,True,1,False,False
401,42,True,True,True,19,True,1,False,False
409,44,True,False,False,20,False,1,False,False
417,48,True,False,False,19,False,1,False,False
425,52,True,False,False,18,False,2,False,False
433,56,True,False,False,17,False,2,False,False
441,60,True,False,False,16,False,2,False,False
449,63,True,False,False,15,False,2,False,False
457,67,True,False,False,15,False,2,False,False
465,71,True,False,False,14,False,2,False,False
473,74,True,False,False,13,False,2,False,False
481,79,True,False,False,12,False,2,False,False
489,80,False,False,False,11,False,2,False,False
497,80,False,False,False,10,True,2,False,False
505,79,False,True,True,11,True,2,False,False
513,76,False,True,True,13,True,2,False,False
521,73,False,True,True,17,True,1,True,False
529,69,False,True,True,20,False,0,False,False
537,69,False,False,False,20,False,0,False,False
545,69,False,False,False,19,False,0,False,False
553,69,False,False,False,17,False,0,False,False
561,69,False,False,False,17,False,0,False,False
569,69,False,False,False,16,False,1,False,False
577,69,False,False,False,15,False,1,False,False
585,69,False,False,False,14,False,1,False,False
593,69,False,False,False,13,False,1,False,False
601,69,False,False,False,12,False,1,False,False
609,69,False,False,False,11,False,1,False,False
617,69,False,False,False,11,False,1,False,False
625,67,False,True,True,12,True,1,False,False
633,64,False,True,True,14,True,1,False,False
641,61,False,True,True,16,True,1,False,False
649,58,False,True,True,18,True,1,False,False
657,54,False,False,False,21,False,2,False,False
665,54,False,False,False,20,False,2,False,False
673,54,False,False,False,19,False,2,False,False
681,54,False,False,False,18,False,2,False,False
689,54,False,False,False,17,False,2,False,False
697,54,False,False,False,16,False,2,False,False
705,54,False,False,False,15,False,2,False,False
713,54,False,False,False,14,False,2,False,False
721,54,False,False,False,13,False,2,False,False
729,54,False,False,False,12,False,2,False,False
737,54,False,False,False,12,False,2,False,False
745,54,False,False,False,14,False,0,False,False
753,54,False,False,False,13,False,0,False,False
