A,B,C,D,E,F,G,H,I,J,K,L
473,18252,15815,12192,11996,18739,11838,17870,12173,11966,18803,True
481,18211,15831,12170,11969,18814,11924,17858,12175,11957,18840,True
489,18184,15721,12185,11982,18816,11985,17839,12187,11962,18835,True
497,18156,15726,12180,11969,18836,12014,17858,12182,11953,18836,True
505,18139,15632,12200,11982,18784,12072,17769,12204,11955,18777,True
513,18124,15642,12182,11951,18770,12138,17785,12207,11948,18806,True
521,18116,15516,12210,11971,18765,12188,17802,12193,11933,18734,True
529,18109,15461,12223,11971,18762,12237,17853,12182,11919,18743,True
537,18092,15477,12204,11956,18780,12280,17802,12199,11935,18806,True
545,18072,15354,12238,11970,18834,12332,17895,12168,11904,18775,True
553,18059,15325,12231,11952,18829,12395,17812,12190,11909,18776,True
561,18052,15482,12151,11890,18782,12477,17840,12179,11889,18752,True
569,18053,15385,12179,11905,18774,12507,17828,12192,11895,18789,True
577,18056,15304,12200,11910,18776,12586,18039,12131,11842,18768,True
585,18050,15312,12186,11909,18850,12659,17814,12194,11888,18848,True
593,18035,15209,12201,11900,18872,12760,17753,12216,11888,18838,True
601,18036,15202,12187,11892,18774,12807,17724,12226,11899,18772,True
609,18038,15152,12194,11892,18765,12887,17913,12165,11854,18748,True
617,18043,15151,12191,11890,18807,12923,17928,12162,11854,18779,True
625,18053,14998,12240,11926,18734,12988,17824,12198,11874,18744,True
633,18059,14634,12243,11932,18765,13026,17866,12185,11873,18753,True
641,18072,15080,12200,11904,18829,13113,17854,12191,11876,18808,True
649,18074,15160,12151,11872,18795,13188,17839,12206,11896,18838,True
657,18083,15095,12180,11904,18771,13226,17980,12164,11870,18794,True
665,18090,15058,12192,11912,18796,13273,17933,12168,11876,18814,True
673,18094,15041,12198,11918,18810,13301,18028,12145,11867,18795,True
681,18098,15034,12200,11925,18851,13327,17871,12185,11895,18768,True
689,18109,15111,12162,11903,18735,13399,17873,12194,11913,18714,True
697,18123,15006,12204,11944,18782,13448,17900,12180,11906,18812,True
705,18132,14653,12196,11965,18777,13542,17914,12183,11927,18774,True
713,18135,15019,12192,11957,18831,13600,17982,12150,11909,18716,True
721,18145,14596,12217,12008,18735,13682,17961,12159,11929,18763,True
729,18149,15097,12165,11954,18713,13762,17997,12144,11928,18745,True
737,18161,15036,12196,11980,18787,13818,17792,12216,11983,18784,True
745,18161,15051,12191,11992,18834,13865,17789,12211,11987,18812,True
753,18161,14653,12213,12038,18774,13891,17979,12155,11952,18810,True
761,18165,15055,12220,12012,18757,13936,17792,12216,11998,18776,True
769,18165,14645,12230,12070,18857,13962,17898,12176,11973,18780,True
777,18162,15133,12196,11996,18825,14019,17883,12183,11976,18807,True
785,18168,15280,12147,11973,18780,14080,17820,12209,12003,18791,True
793,18171,15146,12209,12011,18782,14124,17943,12148,11960,18778,True
801,18172,15143,12218,12019,18864,14158,17822,12192,11988,18747,True
809,18175,15209,12199,12008,18836,14185,17768,12210,12002,18868,True
817,18172,15247,12191,12004,18881,14248,17930,12160,11968,18763,True
825,18163,15282,12179,11990,18765,14269,17838,12183,11981,18907,True
833,18159,15355,12164,11981,18860,14318,17840,12184,11980,18806,True
841,18154,15356,12173,11988,18780,14346,17865,12171,11969,18884,True
849,18151,15344,12194,11996,18866,14407,17917,12162,11958,18804,True
857,18138,15393,12186,11988,18820,14452,17801,12198,11984,18891,True
865,18136,15342,12208,11992,18837,14497,17888,12163,11953,18844,True
873,18130,15544,12141,11952,18823,14536,17923,12153,11943,18825,True
881,18117,15439,12199,11981,18829,14581,17818,12193,11960,18840,True
889,18107,15486,12196,11979,18905,14626,17785,12203,11964,18816,True
897,18086,15546,12180,11956,18759,14669,17824,12188,11947,18870,True
905,18076,15567,12186,11954,18835,14711,17855,12171,11931,18857,True
913,18060,15673,12157,11929,18824,14761,17883,12172,11921,18791,True
921,18048,15593,12195,11950,18800,14793,17804,12189,11928,18851,True
929,18035,15686,12168,11929,18862,14853,17893,12162,11897,18847,True
937,18007,15672,12195,11949,18853,14896,17806,12196,11924,18861,True
945,17994,15707,12169,11918,18804,14932,17968,12139,11873,18801,True
953,17978,15694,12189,11930,18792,14968,17877,12173,11895,18773,True
961,17961,15650,12215,11948,18909,15002,17826,12189,11899,18887,True
969,17940,15775,12176,11911,18806,15051,17864,12178,11882,18760,True
977,17923,15728,12212,11931,18809,15105,17932,12174,11877,18788,True
985,17889,15860,12171,11900,18819,15169,17822,12213,11895,18866,True
993,17860,15752,12223,11937,18864,15213,17783,12225,11904,18875,True
1001,17839,15880,12185,11905,18817,15235,17941,12165,11862,18854,True
1009,17825,15890,12185,11903,18842,15261,17897,12179,11872,18771,True
1017,17793,15933,12177,11901,18795,15332,17927,12170,11859,18822,True
1025,17755,15909,12203,11921,18855,15385,17913,12180,11866,18888,True
1033,17724,15885,12220,11929,18850,15420,17948,12163,11861,18833,True
1041,17697,15900,12215,11923,18825,15462,17892,12184,11867,18847,True
1049,17668,16058,12165,11891,18888,15505,17849,12198,11881,18843,True
1057,17636,16015,12190,11917,18884,15545,17866,12199,11879,18836,True
1065,17613,16063,12173,11908,18901,15582,17915,12147,11853,18869,True
1073,17569,16102,12171,11902,18807,15615,17853,12177,11876,18882,True
1081,17538,16038,12200,11928,18721,15657,17837,12170,11871,18818,True
1089,17493,16069,12196,11926,18787,15704,17910,12145,11865,18782,True
1097,17472,16065,12192,11932,18770,15729,17799,12192,11892,18813,True
1105,17416,16045,12206,11940,18785,15786,17882,12161,11882,18866,True
1113,17391,16099,12192,11937,18832,15829,17837,12170,11888,18798,True
1121,17346,16181,12168,11924,18830,15888,17851,12165,11901,18730,True
1129,17297,16140,12203,11967,18823,15938,17822,12180,11921,18807,True
1137,17250,16118,12209,11969,18783,15985,17748,12204,11944,18850,True
1145,17206,16126,12206,11978,18774,16035,17719,12215,11955,18822,True
1153,17176,16221,12182,11963,18812,16079,17781,12202,11946,18803,True
1161,17143,16177,12188,11972,18777,16135,17878,12174,11936,18815,True
1169,17120,16248,12166,11964,18811,16173,17836,12184,11952,18811,True
1177,17074,16110,12207,12005,18810,16227,17838,12179,11958,18767,True
1185,17044,16252,12152,11966,18746,16248,17835,12185,11969,18773,True
1193,17006,16056,12221,12018,18832,16296,17841,12187,11967,18805,True
1201,16972,16256,12151,11972,18885,16343,17850,12182,11970,18839,True
1209,16948,16198,12162,11984,18797,16377,17841,12184,11972,18864,True
1217,16912,16033,12187,12005,18858,16419,17750,12214,11998,18774,True
1225,16894,15945,12219,12028,18775,16453,17969,12146,11954,18885,True
1233,16865,15882,12237,12046,18848,16494,17834,12193,11992,18813,True
1241,16839,15881,12226,12039,18781,16527,17799,12194,11990,18814,True
1249,16791,15882,12218,12034,18814,16567,17826,12207,12001,18828,True
1257,16769,15821,12242,12054,18805,16600,17809,12212,12001,18822,True
1265,16748,15995,12162,11999,18841,16652,17887,12181,11982,18824,True
1273,16697,15900,12186,12007,18896,16692,17904,12180,11976,18869,True
1281,16656,15847,12195,12012,18841,16760,17932,12169,11966,18766,True
1289,16625,15902,12162,11987,18769,16816,17992,12148,11956,18728,True
1297,16596,15843,12168,11986,18782,16844,17872,12194,11985,18835,True
1305,16579,15825,12189,12000,18809,16876,17866,12200,11981,18830,True
1313,16553,15784,12189,11988,18877,16948,17832,12207,11976,18836,True
1321,16527,15776,12179,11987,18830,16984,17747,12229,11998,18817,True
1329,16501,15626,12215,12001,18781,17038,17915,12163,11935,18900,True
1337,16487,15618,12218,12001,18860,17088,17790,12198,11947,18829,True
1345,16467,15517,12244,12012,18895,17122,17827,12181,11932,18853,True
1353,16449,15726,12155,11941,18810,17164,17726,12217,11951,18774,True
1361,16421,15544,12202,11962,18852,17237,17834,12185,11922,18768,True
1369,16406,15532,12189,11943,18764,17287,17935,12146,11881,18865,True
1377,16399,15493,12205,11955,18885,17314,17795,12201,11918,18794,True
1385,16365,15524,12190,11938,18848,17374,17956,12144,11880,18821,True
1393,16345,15480,12194,11922,18877,17421,17858,12175,11884,18851,True
1401,16337,15500,12181,11917,18869,17453,17905,12158,11871,18833,True
1409,16326,15504,12157,11890,18788,17501,17759,12209,11897,18807,True
1417,16317,15364,12206,11913,18792,17540,17918,12157,11858,18829,True
1425,16315,15357,12204,11914,18805,17574,17763,12205,11884,18786,True
1433,16317,15277,12227,11921,18770,17623,17824,12194,11868,18797,True
1441,16323,15264,12223,11920,18795,17664,17930,12154,11843,18879,True
1449,16322,15298,12201,11907,18855,17704,17796,12197,11867,18760,True
1457,16309,15312,12184,11897,18772,17743,17864,12175,11859,18868,True
1465,16300,15244,12196,11895,18815,17785,17841,12184,11864,18798,True
1473,16295,15173,12217,11902,18852,17831,17790,12203,11875,18783,True
1481,16301,15072,12216,11902,18783,17911,17746,12217,11878,18803,True
1489,16305,15076,12203,11893,18752,17947,17831,12189,11865,18793,True
1497,16307,15155,12169,11871,18827,18008,17839,12186,11862,18808,True
1505,16305,14985,12223,11913,18832,18065,17966,12149,11850,18777,True
1513,16307,14637,12222,11928,18784,18111,17867,12186,11874,18780,True
1521,16314,15073,12172,11889,18786,18166,17917,12168,11867,18834,True
1529,16320,14563,12238,11952,18831,18211,17834,12190,11885,18806,True
1537,16323,14615,12219,11945,18850,18247,17780,12207,11901,18840,True
1545,16322,14559,12227,11956,18895,18289,17807,12202,11901,18880,True
1553,16318,14614,12214,11959,18846,18325,17986,12151,11876,18859,True
1561,16319,14989,12195,11930,18872,18370,17866,12186,11910,18871,True
1569,16322,15020,12185,11927,18806,18412,17897,12179,11905,18869,True
1577,16323,14551,12226,11989,18907,18453,17950,12154,11897,18862,True
1585,16319,15039,12172,11932,18827,18493,17918,12169,11914,18821,True
1593,16323,15021,12183,11941,18868,18535,17898,12182,11937,18851,True
1601,16330,14599,12209,11993,18857,18578,17823,12207,11954,18871,True
1609,16334,14646,12209,11999,18870,18604,17898,12186,11947,18895,True
1617,16339,14569,12229,12030,18829,18647,18045,12138,11921,18849,True
1625,16331,14474,12253,12058,18907,18674,17981,12155,11939,18938,True
1633,16329,14986,12204,11981,18813,18692,17867,12190,11965,18810,True
1641,16321,15038,12186,11972,18864,18726,17948,12165,11959,18909,True
1649,16317,15065,12179,11968,18790,18751,17882,12188,11971,18813,True
1657,16313,15083,12176,11976,18788,18810,17893,12181,11972,18812,True
1665,16309,15068,12192,11993,18884,18837,17856,12197,11984,18903,True
1673,16305,15143,12172,11982,18882,18895,17977,12159,11962,18866,True
1681,16300,15168,12166,11978,18810,18918,17762,12225,12013,18891,True
1689,16291,15122,12205,12006,18889,18967,17868,12185,11985,18843,True
1697,16287,15180,12186,11995,18854,18998,17887,12181,11986,18833,True
1705,16282,15104,12218,12016,18877,19035,17840,12197,11995,18910,True
1713,16275,15160,12204,12006,18856,19073,17791,12204,12003,18842,True
1721,16263,15211,12186,11998,18890,19104,17937,12166,11976,18890,True
1729,16253,15266,12196,12001,18894,19139,17877,12188,11987,18910,True
1737,16246,15202,12223,12019,18869,19179,17841,12194,11988,18832,True
1745,16231,15263,12206,12002,18920,19214,17815,12199,11990,18953,True
1753,16220,15241,12231,12018,18865,19231,17756,12224,12010,18955,True
1761,16207,15450,12162,11964,18864,19275,17848,12192,11978,18874,True
1769,16187,15310,12224,12014,18866,19300,17930,12160,11954,18840,True
1777,16171,15420,12193,11978,18825,19339,17945,12161,11942,18870,True
1785,16158,15425,12201,11978,18944,19367,17757,12226,11985,18851,False
1793,16151,15350,12236,12003,18931,19312,17937,12163,11980,18916,False
1801,16127,15476,12195,11972,18889,19216,17858,12185,11992,18928,False
1809,16116,15594,12162,11942,18871,19139,17882,12183,11982,18870,False
1817,16103,15479,12220,11973,18906,19049,17900,12175,11973,18863,False
1825,16093,15480,12223,11973,18796,18978,17856,12183,11977,18896,False
1833,16076,15610,12190,11949,18789,18857,17785,12217,11992,18832,False
1841,16068,15653,12188,11942,18780,18789,17935,12167,11950,18810,False
1849,16059,15682,12185,11935,18810,18722,17854,12186,11966,18835,False
1857,16049,15628,12220,11954,18751,18655,17878,12180,11952,18791,False
1865,16035,15806,12164,11919,18799,18585,17909,12169,11947,18766,False
1873,16022,15762,12183,11929,18712,18532,17779,12207,11969,18769,False
1881,16001,15750,12197,11927,18730,18441,17963,12154,11933,18722,False
1889,15992,15780,12190,11919,18754,18390,17840,12191,11950,18719,False
1897,15985,15664,12242,11948,18739,18308,17793,12194,11949,18795,False
1905,15971,15797,12200,11921,18735,18230,17899,12164,11924,18709,False
1913,15954,15911,12171,11899,18755,18164,17802,12196,11947,18762,False
1921,15938,15815,12211,11922,18794,18096,17871,12173,11926,18750,False
1929,15921,16034,12146,11880,18731,18012,17764,12206,11948,18791,False
1937,15903,15830,12230,11934,18814,17942,17908,12155,11913,18739,False
1945,15884,15887,12212,11925,18790,17873,17806,12188,11933,18796,False
1953,15859,15880,12223,11931,18854,17804,17713,12223,11955,18770,False
1961,15832,16021,12178,11900,18801,17715,17830,12182,11932,18850,False
1969,15817,15990,12185,11901,18808,17645,17820,12183,11927,18796,False
1977,15793,15983,12200,11910,18733,17577,17745,12206,11946,18794,False
1985,15773,16053,12176,11898,18760,17509,17867,12169,11919,18751,False
1993,15752,16074,12173,11896,18734,17441,17880,12164,11919,18757,False
2001,15734,16062,12186,11902,18735,17358,17858,12175,11924,18725,False
2009,15706,16079,12186,11904,18735,17276,17935,12163,11920,18737,False
2017,15686,16143,12176,11906,18742,17211,17727,12224,11963,18773,False
2025,15664,16038,12208,11929,18735,17145,17933,12158,11918,18728,False
2033,15642,16111,12193,11921,18798,17078,17794,12206,11949,18736,False
2041,15618,16087,12204,11932,18777,16991,17831,12195,11951,18812,False
2049,15593,16176,12172,11911,18780,16924,17788,12207,11960,18776,False
2057,15574,16143,12186,11926,18786,16860,17757,12207,11958,18784,False
