timestamp,PLC2_IR0,PLC2_C0,PLC2_C1,PLC2_MW0,PLC2_MW1
1770323582.2183893,0,False,True,0,0
1770323582.483847,0,False,True,0,0
1770323582.6978157,0,False,True,0,0
1770323582.9016418,0,False,True,0,0
1770323583.0940428,0,False,True,0,0
1770323583.297903,0,False,True,0,0
1770323583.5021129,0,False,True,0,0
1770323583.7139516,0,False,True,0,0
1770323583.9192789,0,False,True,0,0
1770323584.1128085,0,False,True,0,0
1770323584.318104,0,False,True,0,0
1770323584.5269535,0,False,True,0,0
1770323584.7312255,0,False,True,0,0
1770323584.9398057,0,False,True,0,0
1770323585.1534865,0,False,True,0,0
1770323585.3567157,0,False,True,0,0
1770323585.5709114,0,False,True,0,0
1770323585.7812324,0,False,True,0,0
1770323585.9996488,0,False,True,0,0
1770323586.2039335,0,False,True,0,0
1770323586.4138193,0,False,True,0,0
1770323586.6122594,0,False,True,0,0
1770323586.8161163,0,False,True,0,0
1770323587.0254579,0,False,True,0,0
1770323587.2243526,0,False,True,0,0
1770323587.438505,0,False,True,0,0
1770323587.6422694,0,False,True,0,0
1770323587.8555884,0,False,True,0,0
1770323588.075309,0,False,True,0,0
1770323588.2845767,0,False,True,0,0
1770323588.4879181,0,False,True,0,0
1770323588.6961467,0,False,True,0,0
1770323588.894903,0,False,True,0,0
1770323589.0936575,0,False,True,0,0
1770323589.2866035,0,False,True,0,0
1770323589.4847608,0,False,True,0,0
1770323589.6928945,0,False,True,0,0
1770323589.906777,0,False,True,0,0
1770323590.1032887,0,False,True,0,0
1770323590.3075757,0,False,True,0,0
1770323590.5159156,0,False,True,0,0
1770323590.7186394,0,False,True,0,0
1770323590.9322548,0,False,True,0,0
1770323591.1357698,0,False,True,0,0
1770323591.3440547,0,False,True,0,0
1770323591.5523074,0,False,True,0,0
1770323591.7560556,0,False,True,0,0
1770323591.964326,0,False,True,0,0
1770323592.1749072,0,False,True,0,0
1770323592.3832276,0,False,True,0,0
1770323592.591449,0,False,True,0,0
1770323592.7893054,0,False,True,0,0
1770323592.9922864,0,False,True,0,0
1770323593.1904757,0,False,True,0,0
1770323593.399261,0,False,True,0,0
1770323593.597235,0,False,True,0,0
1770323593.795438,0,False,True,0,0
1770323593.9989612,0,False,True,0,0
1770323594.2076979,0,False,True,0,0
1770323594.4115384,0,False,True,0,0
1770323594.6049013,0,False,True,0,0
1770323594.8031626,0,False,True,0,0
1770323595.012884,0,False,True,0,0
1770323595.2187843,0,False,True,0,0
1770323595.4168353,0,False,True,0,0
1770323595.6257186,0,False,True,0,0
1770323595.8365371,0,False,True,0,0
1770323596.0176213,0,False,True,0,0
1770323596.2161608,0,False,True,0,0
1770323596.4243207,0,False,True,0,0
1770323596.6325629,0,False,True,0,0
1770323596.8316739,0,False,True,0,0
1770323597.0356345,0,False,True,0,0
1770323597.2386508,0,False,True,0,0
1770323597.4425986,0,False,True,0,0
1770323597.6506882,0,False,True,0,0
1770323597.8502474,0,False,True,0,0
1770323598.0584502,0,False,True,0,0
1770323598.2620034,0,False,True,0,0
1770323598.4752803,0,False,True,0,0
1770323598.6781616,0,True,True,1,0
1770323598.8821812,0,True,True,1,0
1770323599.0822728,0,True,True,1,0
1770323599.2853088,0,True,True,1,0
1770323599.4837518,0,True,True,1,0
1770323599.6916733,1,True,True,1,0
1770323599.890215,1,True,True,1,0
1770323600.0955954,1,True,True,1,0
1770323600.3059316,1,True,True,1,0
1770323600.4931712,1,True,True,1,0
1770323600.696875,2,True,True,1,0
1770323600.8903332,2,True,True,1,0
1770323601.0941582,2,True,True,1,0
1770323601.3008478,2,True,True,1,0
1770323601.5045295,2,True,True,1,0
1770323601.7186098,3,True,True,1,0
1770323601.9172857,3,True,True,1,0
1770323602.1248097,3,True,True,1,0
1770323602.3383262,3,True,True,1,0
1770323602.5416656,3,True,True,1,0
