timestamp,PLC2_IR0,PLC2_C0,PLC2_C1,PLC2_HW0,PLC2_HW1025
1770324113.3837724,0,False,True,0,5
1770324113.5675766,0,False,True,0,5
1770324113.7661445,0,False,True,0,5
1770324113.9622202,0,False,True,0,5
1770324114.171006,0,False,True,0,5
1770324114.377017,0,False,True,0,5
1770324114.5908155,0,False,True,0,5
1770324114.7939944,0,False,True,0,5
1770324115.0052407,0,False,True,0,5
1770324115.2044835,0,False,True,0,5
1770324115.418055,0,False,True,0,5
1770324115.6267831,0,False,True,0,5
1770324115.82092,0,False,True,0,5
1770324116.0105298,0,False,True,0,5
1770324116.2147546,0,False,True,0,5
1770324116.4282885,0,False,True,0,5
1770324116.6273847,0,False,True,0,5
1770324116.8323104,0,False,True,0,5
1770324117.0254903,0,False,True,0,5
1770324117.2288268,0,False,True,0,5
1770324117.416193,0,False,True,0,5
1770324117.611088,0,False,True,0,5
1770324117.82541,0,False,True,0,5
1770324118.0392158,0,False,True,0,5
1770324118.2375977,0,False,True,0,5
1770324118.4515116,0,False,True,0,5
1770324118.6496005,0,False,True,0,5
1770324118.8534818,0,False,True,0,5
1770324119.051507,0,False,True,0,5
1770324119.2451158,0,False,True,0,5
1770324119.4509838,0,False,True,0,5
1770324119.6541033,0,False,True,0,5
1770324119.8553395,0,False,True,0,5
1770324120.0575838,0,False,True,0,5
1770324120.271893,0,False,True,0,5
1770324120.4851918,0,False,True,0,5
1770324120.6940432,0,False,True,0,5
1770324120.8930805,0,False,True,0,5
1770324121.0977082,0,False,True,0,5
1770324121.3068314,0,False,True,0,5
1770324121.510775,0,False,True,0,5
1770324121.7205827,0,False,True,0,5
1770324121.9208355,0,False,True,0,5
1770324122.1082673,0,False,True,0,5
1770324122.314784,0,False,True,0,5
1770324122.5233116,0,False,True,0,5
1770324122.7369132,0,False,True,0,5
1770324122.9405725,0,False,True,0,5
1770324123.1438658,0,False,True,0,5
1770324123.3370693,0,False,True,0,5
1770324123.5506713,0,False,True,0,5
1770324123.7657163,0,False,True,0,5
1770324123.969415,0,False,True,0,5
1770324124.1729586,0,False,True,0,5
1770324124.3713799,0,False,True,0,5
1770324124.5645912,0,False,True,0,5
1770324124.768061,0,False,True,0,5
1770324124.9781148,0,False,True,0,5
1770324125.1931076,0,False,True,0,5
1770324125.4012651,0,False,True,0,5
1770324125.6049316,0,False,True,0,5
1770324125.80496,0,False,True,0,5
1770324126.0045538,0,False,True,0,5
1770324126.1987896,0,False,True,0,5
1770324126.3971972,0,False,True,0,5
1770324126.60052,0,False,True,0,5
1770324126.8042302,0,False,True,0,5
1770324127.003014,0,False,True,0,5
1770324127.2114322,0,False,True,0,5
1770324127.4055805,0,False,True,0,5
1770324127.5935388,0,False,True,0,5
1770324127.7877574,0,False,True,0,5
1770324127.986285,0,False,True,0,5
1770324128.1903389,0,False,True,0,5
1770324128.3788624,0,False,True,0,5
1770324128.5831656,0,False,True,0,5
1770324128.7872589,0,False,True,0,5
1770324128.9865198,0,False,True,0,5
1770324129.1851695,0,False,True,0,5
1770324129.39427,0,False,True,0,5
1770324129.5934398,0,False,True,0,5
1770324129.8033855,0,False,True,0,5
1770324130.0071852,0,False,True,0,5
1770324130.2154999,0,False,True,0,5
1770324130.419409,0,False,True,0,5
1770324130.613973,0,False,True,0,5
1770324130.8229628,0,False,True,0,5
1770324131.043526,0,False,True,0,5
1770324131.2312875,0,False,True,0,5
1770324131.4305978,0,False,True,0,5
1770324131.6319427,0,False,True,0,5
1770324131.8457193,0,False,True,0,5
1770324132.0494263,0,False,True,0,5
1770324132.2644207,0,False,True,0,5
1770324132.483919,0,False,True,0,5
1770324132.6898918,0,False,True,0,5
1770324132.8936186,0,False,True,0,5
1770324133.102424,0,False,True,0,5
1770324133.300529,0,False,True,0,5
1770324133.5036378,0,False,True,0,5
